Zero 3 5 [1, 3, 4, 5, 8]
[60, 9, 15, 32, 48]
[60, 9, 15, 34, 46]
[60, 9, 15, 34, 47]
[60, 9, 15, 34, 48]
[60, 9, 15, 35, 46]
[60, 9, 15, 35, 48]
[60, 9, 15, 38, 46]
[60, 9, 15, 38, 47]
[60, 9, 15, 38, 48]
[60, 9, 17, 30, 47]
[60, 9, 17, 30, 48]
[60, 9, 17, 32, 48]
[60, 9, 17, 34, 47]
[60, 9, 17, 34, 48]
[60, 9, 17, 35, 48]
[60, 9, 17, 38, 47]
[60, 9, 17, 38, 48]
[60, 9, 18, 30, 47]
[60, 9, 18, 30, 48]
[60, 9, 18, 32, 48]
[60, 9, 18, 34, 47]
[60, 9, 18, 34, 48]
[60, 9, 18, 35, 48]
[60, 9, 18, 38, 47]
[60, 9, 18, 38, 48]
[60, 9, 19, 30, 46]
[60, 9, 19, 30, 47]
[60, 9, 19, 30, 48]
[60, 9, 19, 32, 46]
[60, 9, 19, 32, 48]
[60, 9, 19, 34, 46]
[60, 9, 19, 34, 47]
[60, 9, 19, 34, 48]
[60, 9, 19, 35, 46]
[60, 9, 19, 35, 48]
[60, 9, 19, 38, 46]
[60, 9, 19, 38, 47]
[60, 9, 19, 38, 48]
[60, 12, 14, 30, 48]
[60, 12, 14, 34, 48]
[60, 12, 14, 38, 48]
[60, 12, 15, 30, 48]
[60, 12, 15, 34, 48]
[60, 12, 15, 38, 48]
[60, 12, 19, 30, 48]
[60, 12, 19, 34, 48]
[60, 12, 19, 38, 48]
[60, 8, 15, 32, 54]
[60, 8, 15, 35, 54]
[60, 8, 15, 38, 51]
[60, 8, 15, 38, 54]
[60, 8, 17, 38, 51]
[60, 8, 18, 38, 51]
[60, 8, 19, 32, 54]
[60, 8, 19, 35, 54]
[60, 8, 19, 38, 51]
[60, 8, 19, 38, 54]
[60, 9, 15, 32, 54]
[60, 9, 15, 35, 54]
[60, 9, 15, 38, 51]
[60, 9, 15, 38, 54]
[60, 9, 17, 38, 51]
[60, 9, 18, 38, 51]
[60, 9, 19, 32, 54]
[60, 9, 19, 35, 54]
[60, 9, 19, 38, 51]
[60, 9, 19, 38, 54]
[60, 8, 14, 39, 46]
[60, 8, 14, 39, 48]
[60, 8, 14, 40, 46]
[60, 8, 14, 40, 47]
[60, 8, 14, 40, 48]
[60, 8, 15, 39, 46]
[60, 8, 15, 39, 48]
[60, 8, 15, 40, 46]
[60, 8, 15, 40, 47]
[60, 8, 15, 40, 48]
[60, 8, 15, 43, 46]
[60, 8, 15, 43, 47]
[60, 8, 15, 43, 48]
[60, 8, 15, 44, 46]
[60, 8, 15, 44, 47]
[60, 8, 15, 44, 48]
[60, 8, 17, 39, 46]
[60, 8, 17, 39, 48]
[60, 8, 17, 40, 46]
[60, 8, 17, 40, 47]
[60, 8, 17, 40, 48]
[60, 8, 17, 43, 46]
[60, 8, 17, 43, 47]
[60, 8, 17, 43, 48]
[60, 8, 17, 44, 46]
[60, 8, 17, 44, 47]
[60, 8, 17, 44, 48]
[60, 8, 18, 39, 46]
[60, 8, 18, 39, 48]
[60, 8, 18, 40, 46]
[60, 8, 18, 40, 47]
[60, 8, 18, 40, 48]
[60, 8, 18, 43, 46]
[60, 8, 18, 43, 47]
[60, 8, 18, 43, 48]
[60, 8, 18, 44, 46]
[60, 8, 18, 44, 47]
[60, 8, 18, 44, 48]
[60, 8, 19, 39, 46]
[60, 8, 19, 39, 48]
[60, 8, 19, 43, 46]
[60, 8, 19, 43, 47]
[60, 8, 19, 43, 48]
[60, 8, 19, 44, 46]
[60, 8, 19, 44, 47]
[60, 8, 19, 44, 48]
[60, 9, 14, 39, 46]
[60, 9, 14, 39, 48]
[60, 9, 14, 40, 46]
[60, 9, 14, 40, 47]
[60, 9, 14, 40, 48]
[60, 9, 15, 39, 46]
[60, 9, 15, 40, 46]
[60, 9, 15, 40, 47]
[60, 9, 15, 43, 46]
[60, 9, 15, 43, 47]
[60, 9, 15, 44, 46]
[60, 9, 15, 44, 47]
[60, 9, 17, 39, 46]
[60, 9, 17, 39, 48]
[60, 9, 17, 40, 46]
[60, 9, 17, 40, 47]
[60, 9, 17, 40, 48]
[60, 9, 17, 43, 46]
[60, 9, 17, 43, 47]
[60, 9, 17, 43, 48]
[60, 9, 17, 44, 46]
[60, 9, 17, 44, 47]
[60, 9, 17, 44, 48]
[60, 9, 18, 39, 46]
[60, 9, 18, 39, 48]
[60, 9, 18, 40, 46]
[60, 9, 18, 40, 47]
[60, 9, 18, 40, 48]
[60, 9, 18, 43, 46]
[60, 9, 18, 43, 47]
[60, 9, 18, 43, 48]
[60, 9, 18, 44, 46]
[60, 9, 18, 44, 47]
[60, 9, 18, 44, 48]
[60, 9, 19, 39, 46]
[60, 9, 19, 39, 48]
[60, 9, 19, 40, 46]
[60, 9, 19, 40, 47]
[60, 9, 19, 40, 48]
[60, 9, 19, 43, 46]
[60, 9, 19, 43, 47]
[60, 9, 19, 43, 48]
[60, 9, 19, 44, 46]
[60, 9, 19, 44, 47]
[60, 9, 19, 44, 48]
[60, 12, 14, 40, 46]
[60, 12, 14, 40, 48]
[60, 12, 14, 43, 46]
[60, 12, 14, 43, 48]
[60, 12, 14, 44, 46]
[60, 12, 14, 44, 48]
[60, 12, 15, 40, 46]
[60, 12, 15, 40, 48]
[60, 12, 15, 43, 46]
[60, 12, 15, 43, 48]
[60, 12, 15, 44, 46]
[60, 12, 15, 44, 48]
[60, 12, 17, 40, 48]
[60, 12, 17, 43, 48]
[60, 12, 17, 44, 48]
[60, 12, 18, 40, 48]
[60, 12, 18, 43, 48]
[60, 12, 18, 44, 48]
[60, 12, 19, 40, 46]
[60, 12, 19, 40, 48]
[60, 12, 19, 43, 46]
[60, 12, 19, 43, 48]
[60, 12, 19, 44, 46]
[60, 12, 19, 44, 48]
[60, 8, 15, 39, 54]
[60, 8, 15, 40, 51]
[60, 8, 15, 40, 54]
[60, 8, 17, 39, 54]
[60, 8, 17, 40, 51]
[60, 8, 17, 40, 54]
[60, 8, 18, 39, 54]
[60, 8, 18, 40, 51]
[60, 8, 18, 40, 54]
[60, 8, 19, 39, 54]
[60, 8, 19, 40, 51]
[60, 8, 19, 40, 54]
[60, 9, 15, 39, 54]
[60, 9, 15, 40, 51]
[60, 9, 15, 40, 54]
[60, 9, 17, 39, 54]
[60, 9, 17, 40, 51]
