Blaster 3 6 [0, 1, 2, 4, 5, 7] Mon Aug 23 21:03:52 2021
[36, 14, 21, 28, 46, 68]
[36, 14, 21, 28, 48, 55]
[36, 14, 21, 28, 48, 56]
[36, 14, 21, 28, 48, 57]
[36, 14, 21, 28, 48, 58]
[36, 14, 21, 28, 48, 61]
[36, 14, 21, 28, 48, 62]
[36, 14, 21, 28, 48, 67]
[36, 14, 21, 28, 48, 68]
[36, 14, 21, 29, 45, 56]
[36, 14, 21, 29, 45, 57]
[36, 14, 21, 29, 45, 58]
[36, 14, 21, 29, 45, 61]
[36, 14, 21, 29, 45, 62]
[36, 14, 21, 29, 45, 67]
[36, 14, 21, 29, 46, 56]
[36, 14, 21, 29, 46, 57]
[36, 14, 21, 29, 46, 58]
[36, 14, 21, 29, 46, 61]
[36, 14, 21, 29, 46, 62]
[36, 14, 21, 29, 46, 67]
[36, 14, 21, 29, 48, 56]
[36, 14, 21, 29, 48, 57]
[36, 14, 21, 29, 48, 58]
[36, 14, 21, 29, 48, 61]
[36, 14, 21, 29, 48, 62]
[36, 14, 21, 29, 48, 67]
[36, 14, 21, 30, 44, 56]
[36, 14, 21, 30, 44, 57]
[36, 14, 21, 30, 44, 58]
[36, 14, 21, 30, 44, 61]
[36, 14, 21, 30, 44, 62]
[36, 14, 21, 30, 44, 67]
[36, 14, 21, 30, 45, 55]
[36, 14, 21, 30, 45, 56]
[36, 14, 21, 30, 45, 57]
[36, 14, 21, 30, 45, 58]
[36, 14, 21, 30, 45, 61]
[36, 14, 21, 30, 45, 62]
[36, 14, 21, 30, 45, 67]
[36, 14, 21, 30, 45, 68]
[36, 14, 21, 30, 46, 55]
[36, 14, 21, 30, 46, 56]
[36, 14, 21, 30, 46, 57]
[36, 14, 21, 30, 46, 58]
[36, 14, 21, 30, 46, 61]
[36, 14, 21, 30, 46, 62]
[36, 14, 21, 30, 46, 67]
[36, 14, 21, 30, 46, 68]
[36, 14, 21, 30, 48, 55]
[36, 14, 21, 30, 48, 56]
[36, 14, 21, 30, 48, 57]
[36, 14, 21, 30, 48, 58]
[36, 14, 21, 30, 48, 61]
[36, 14, 21, 30, 48, 62]
[36, 14, 21, 30, 48, 67]
[36, 14, 21, 30, 48, 68]
[36, 14, 21, 31, 44, 56]
[36, 14, 21, 31, 44, 57]
[36, 14, 21, 31, 44, 58]
[36, 14, 21, 31, 44, 61]
[36, 14, 21, 31, 44, 62]
[36, 14, 21, 31, 44, 67]
[36, 14, 21, 31, 45, 55]
[36, 14, 21, 31, 45, 56]
[36, 14, 21, 31, 45, 57]
[36, 14, 21, 31, 45, 58]
[36, 14, 21, 31, 45, 61]
[36, 14, 21, 31, 45, 62]
[36, 14, 21, 31, 45, 67]
[36, 14, 21, 31, 45, 68]
[36, 14, 21, 31, 46, 55]
[36, 14, 21, 31, 46, 56]
[36, 14, 21, 31, 46, 57]
[36, 14, 21, 31, 46, 58]
[36, 14, 21, 31, 46, 61]
[36, 14, 21, 31, 46, 62]
[36, 14, 21, 31, 46, 67]
[36, 14, 21, 31, 46, 68]
[36, 14, 21, 31, 48, 55]
[36, 14, 21, 31, 48, 56]
[36, 14, 21, 31, 48, 57]
[36, 14, 21, 31, 48, 58]
[36, 14, 21, 31, 48, 61]
[36, 14, 21, 31, 48, 62]
[36, 14, 21, 31, 48, 67]
[36, 14, 21, 31, 48, 68]
[36, 14, 21, 34, 44, 56]
[36, 14, 21, 34, 44, 57]
[36, 14, 21, 34, 44, 61]
[36, 14, 21, 34, 44, 67]
[36, 14, 21, 34, 45, 55]
[36, 14, 21, 34, 45, 56]
[36, 14, 21, 34, 45, 57]
[36, 14, 21, 34, 45, 61]
[36, 14, 21, 34, 45, 67]
[36, 14, 21, 34, 45, 68]
[36, 14, 21, 34, 46, 55]
[36, 14, 21, 34, 46, 56]
[36, 14, 21, 34, 46, 57]
[36, 14, 21, 34, 46, 61]
[36, 14, 21, 34, 46, 67]
[36, 14, 21, 34, 46, 68]
[36, 14, 21, 34, 48, 55]
[36, 14, 21, 34, 48, 56]
[36, 14, 21, 34, 48, 57]
[36, 14, 21, 34, 48, 61]
[36, 14, 21, 34, 48, 67]
[36, 14, 21, 34, 48, 68]
[36, 14, 21, 35, 44, 56]
[36, 14, 21, 35, 44, 57]
[36, 14, 21, 35, 44, 58]
[36, 14, 21, 35, 44, 61]
[36, 14, 21, 35, 44, 62]
[36, 14, 21, 35, 44, 67]
[36, 14, 21, 35, 45, 55]
[36, 14, 21, 35, 45, 56]
[36, 14, 21, 35, 45, 57]
[36, 14, 21, 35, 45, 58]
[36, 14, 21, 35, 45, 61]
[36, 14, 21, 35, 45, 62]
[36, 14, 21, 35, 45, 67]
[36, 14, 21, 35, 45, 68]
[36, 14, 21, 35, 46, 55]
[36, 14, 21, 35, 46, 56]
[36, 14, 21, 35, 46, 57]
[36, 14, 21, 35, 46, 58]
[36, 14, 21, 35, 46, 61]
[36, 14, 21, 35, 46, 62]
[36, 14, 21, 35, 46, 67]
[36, 14, 21, 35, 46, 68]
[36, 14, 21, 35, 48, 55]
[36, 14, 21, 35, 48, 56]
[36, 14, 21, 35, 48, 57]
[36, 14, 21, 35, 48, 58]
[36, 14, 21, 35, 48, 61]
[36, 14, 21, 35, 48, 62]
[36, 14, 21, 35, 48, 67]
[36, 14, 21, 35, 48, 68]
[36, 14, 22, 28, 44, 53]
[36, 14, 22, 28, 44, 54]
[36, 14, 22, 28, 44, 56]
[36, 14, 22, 28, 44, 57]
[36, 14, 22, 28, 44, 59]
[36, 14, 22, 28, 44, 61]
[36, 14, 22, 28, 44, 67]
[36, 14, 22, 28, 45, 53]
[36, 14, 22, 28, 45, 54]
[36, 14, 22, 28, 45, 55]
[36, 14, 22, 28, 45, 56]
[36, 14, 22, 28, 45, 57]
[36, 14, 22, 28, 45, 59]
[36, 14, 22, 28, 45, 61]
[36, 14, 22, 28, 45, 67]
[36, 14, 22, 28, 45, 68]
[36, 14, 22, 28, 46, 53]
[36, 14, 22, 28, 46, 54]
[36, 14, 22, 28, 46, 55]
[36, 14, 22, 28, 46, 56]
[36, 14, 22, 28, 46, 57]
[36, 14, 22, 28, 46, 59]
[36, 14, 22, 28, 46, 61]
[36, 14, 22, 28, 46, 67]
[36, 14, 22, 28, 46, 68]
[36, 14, 22, 28, 48, 53]
[36, 14, 22, 28, 48, 54]
[36, 14, 22, 28, 48, 55]
[36, 14, 22, 28, 48, 56]
[36, 14, 22, 28, 48, 57]
[36, 14, 22, 28, 48, 59]
[36, 14, 22, 28, 48, 61]
[36, 14, 22, 28, 48, 67]
[36, 14, 22, 28, 48, 68]
[36, 14, 22, 28, 50, 55]
[36, 14, 22, 28, 50, 56]
[36, 14, 22, 28, 50, 57]
[36, 14, 22, 28, 50, 61]
[36, 14, 22, 28, 50, 67]
[36, 14, 22, 28, 50, 68]
[36, 14, 22, 28, 51, 55]
[36, 14, 22, 28, 51, 56]
[36, 14, 22, 28, 51, 57]
[36, 14, 22, 28, 51, 61]
[36, 14, 22, 28, 51, 67]
[36, 14, 22, 28, 51, 68]
[36, 14, 22, 29, 45, 53]
[36, 14, 22, 29, 45, 54]
[36, 14, 22, 29, 45, 56]
[36, 14, 22, 29, 45, 57]
[36, 14, 22, 29, 45, 59]
[36, 14, 22, 29, 45, 61]
[36, 14, 22, 29, 45, 67]
[36, 14, 22, 29, 46, 53]
[36, 14, 22, 29, 46, 54]
[36, 14, 22, 29, 46, 56]
[36, 14, 22, 29, 46, 57]
[36, 14, 22, 29, 46, 59]
[36, 14, 22, 29, 46, 61]
[36, 14, 22, 29, 46, 67]
[36, 14, 22, 29, 48, 53]
[36, 14, 22, 29, 48, 54]
[36, 14, 22, 29, 48, 56]
[36, 14, 22, 29, 48, 57]
[36, 14, 22, 29, 48, 59]
[36, 14, 22, 29, 48, 61]
[36, 14, 22, 29, 48, 67]
[36, 14, 22, 29, 50, 56]
[36, 14, 22, 29, 50, 57]
[36, 14, 22, 29, 50, 61]
[36, 14, 22, 29, 50, 67]
[36, 14, 22, 29, 51, 56]
[36, 14, 22, 29, 51, 57]
[36, 14, 22, 29, 51, 61]
[36, 14, 22, 29, 51, 67]
[36, 14, 22, 30, 44, 53]
[36, 14, 22, 30, 44, 54]
[36, 14, 22, 30, 44, 56]
